room,start time,end time,mean,std,min,median,max,sun,diff,preMean,preStd,preMin,preMedian,preMax,preSun,preDiff
1,2016/01/05 11:26:31,2016/01/05 11:27:26,329.26925,63.5209689336,125.685,351.2925,370.305,3,244.62,153.56375,25.0860529307,117.855,147.0375,199.125,3,81.27
1,2016/01/05 11:27:26,2016/01/05 11:28:20,331.06875,5.26120700287,320.76,331.515,350.91,3,30.15,329.26925,63.5209689336,125.685,351.2925,370.305,3,244.62
1,2016/01/05 11:28:20,2016/01/05 11:29:15,316.4135,4.54846419227,298.935,315.54,333.63,3,34.695,331.06875,5.26120700287,320.76,331.515,350.91,3,30.15
1,2016/01/05 11:29:15,2016/01/05 11:30:10,310.0485,1.48482782139,306.99,310.0275,314.235,3,7.245,316.4135,4.54846419227,298.935,315.54,333.63,3,34.695
1,2016/01/05 11:30:10,2016/01/05 11:31:04,311.54725,8.98193011065,304.425,307.44,341.19,3,36.765,310.0485,1.48482782139,306.99,310.0275,314.235,3,7.245
1,2016/01/05 11:31:05,2016/01/05 11:31:59,307.979,5.2858385539,303.21,305.595,332.865,3,29.655,311.54725,8.98193011065,304.425,307.44,341.19,3,36.765
1,2016/01/05 11:31:59,2016/01/05 11:32:53,305.211,2.44345159525,302.175,304.515,314.055,3,11.88,307.979,5.2858385539,303.21,305.595,332.865,3,29.655
1,2016/01/05 11:32:53,2016/01/05 11:33:48,303.818,1.27295652873,301.41,303.75,307.125,3,5.715,305.211,2.44345159525,302.175,304.515,314.055,3,11.88
1,2016/01/05 11:33:48,2016/01/05 11:34:42,302.23925,1.44273942902,299.34,302.085,305.82,3,6.48,303.818,1.27295652873,301.41,303.75,307.125,3,5.715
1,2016/01/05 11:34:42,2016/01/05 11:35:36,251.16075,50.440197888,54.225,268.47,315.27,3,261.045,302.23925,1.44273942902,299.34,302.085,305.82,3,6.48
1,2016/01/05 11:35:37,2016/01/05 11:36:31,237.52075,30.1644943595,162.9,232.6275,278.19,3,115.29,251.16075,50.440197888,54.225,268.47,315.27,3,261.045
1,2016/01/05 11:36:31,2016/01/05 11:37:26,260.495,12.9063743508,200.475,261.81,302.175,3,101.7,237.52075,30.1644943595,162.9,232.6275,278.19,3,115.29
1,2016/01/05 11:37:26,2016/01/05 11:38:20,251.38425,38.5207117382,0.81,244.665,307.125,3,306.315,260.495,12.9063743508,200.475,261.81,302.175,3,101.7
1,2016/01/05 11:38:20,2016/01/05 11:39:15,235.23025,5.84261426226,224.37,236.025,262.485,3,38.115,251.38425,38.5207117382,0.81,244.665,307.125,3,306.315
1,2016/01/05 11:39:15,2016/01/05 11:40:09,253.123,26.3272733536,193.545,250.6275,376.83,3,183.285,235.23025,5.84261426226,224.37,236.025,262.485,3,38.115
1,2016/01/05 11:40:10,2016/01/05 11:41:04,270.80525,30.9624994312,156.33,268.2225,328.86,3,172.53,253.123,26.3272733536,193.545,250.6275,376.83,3,183.285
1,2016/01/05 11:41:04,2016/01/05 11:41:59,212.9075,57.6175850754,48.87,206.73,294.975,3,246.105,270.80525,30.9624994312,156.33,268.2225,328.86,3,172.53
1,2016/01/05 11:41:59,2016/01/05 11:42:53,178.58925,34.2513074516,103.995,189.8325,276.975,3,172.98,212.9075,57.6175850754,48.87,206.73,294.975,3,246.105
1,2016/01/05 11:42:54,2016/01/05 11:43:48,209.606,102.195620994,121.185,152.9325,437.58,3,316.395,178.58925,34.2513074516,103.995,189.8325,276.975,3,172.98
1,2016/01/05 11:43:49,2016/01/05 11:44:44,140.3915,10.8951438865,123.39,144.3825,153.945,3,30.555,209.606,102.195620994,121.185,152.9325,437.58,3,316.395
